GEOID,source
21171,2
37145,3
37071,0
16069,3
48125,1
55077,3
40009,3
27101,0
38041,2
46045,1
36099,3
48177,3
31049,1
42047,0
48231,3
36079,3
48151,1
36093,3
51790,3
31079,3
19093,0
39077,0
5031,3
48191,1
48445,3
47069,3
42021,0
55033,3
8101,0
8003,0
29055,3
49039,3
1045,3
46025,1
5035,3
56041,0
29151,3
26105,3
26133,3
26093,3
26091,3
36089,3
36073,3
13173,2
29115,2
29133,3
26135,2
26087,3
26035,3
26043,3
18153,0
36003,3
48121,3
48441,3
29043,3
29186,2
26009,3
26019,3
18013,0
72027,0
72017,0
12111,3
12091,3
8081,0
26081,3
48003,3
72101,0
48211,1
72045,0
72125,0
36061,3
72035,0
27059,0
8073,0
8014,0
27093,0
27117,0
38101,2
28061,3
72091,0
72075,0
27143,0
38027,2
48171,3
29017,2
29219,3
29175,3
28123,3
51021,1
2290,2
31005,0
72103,0
72007,0
40103,2
40123,3
72054,0
2130,3
